"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007
"2","Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"3","Gentoo","Biscoe",40.9,13.7,214,4650,"female",2007
"4","Chinstrap","Dream",42.5,16.7,187,3350,"female",2008
"5","Adelie","Torgersen",43.1,19.2,197,3500,"male",2009
"6","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008
"7","Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008
"8","Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"9","Chinstrap","Dream",51.9,19.5,206,3950,"male",2009
"10","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"11","Adelie","Biscoe",42.2,19.5,197,4275,"male",2009
"12","Chinstrap","Dream",50.1,17.9,190,3400,"female",2009
"13","Adelie","Biscoe",39.7,18.9,184,3550,"male",2009
"14","Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"15","Gentoo","Biscoe",52.5,15.6,221,5450,"male",2009
"16","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"17","Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"18","Adelie","Torgersen",34.6,17.2,189,3200,"female",2008
"19","Adelie","Dream",36.4,17,195,3325,"female",2007
"20","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"21","Gentoo","Biscoe",47.2,15.5,215,4975,"female",2009
"22","Gentoo","Biscoe",50.5,15.9,222,5550,"male",2008
"23","Gentoo","Biscoe",45.8,14.2,219,4700,"female",2008
"24","Adelie","Dream",38.1,18.6,190,3700,"female",2008
"25","Adelie","Dream",38.8,20,190,3950,"male",2007
"26","Gentoo","Biscoe",50.8,15.7,226,5200,"male",2009
"27","Gentoo","Biscoe",44.4,17.3,219,5250,"male",2008
"28","Gentoo","Biscoe",47.7,15,216,4750,"female",2008
"29","Adelie","Dream",36.3,19.5,190,3800,"male",2008
"30","Gentoo","Biscoe",42.7,13.7,208,3950,"female",2008
"31","Gentoo","Biscoe",46.5,14.8,217,5200,"female",2008
"32","Adelie","Biscoe",38.2,20,190,3900,"male",2009
"33","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"34","Gentoo","Biscoe",43.3,14,208,4575,"female",2009
"35","Adelie","Torgersen",35.7,17,189,3350,"female",2009
"36","Adelie","Dream",40.7,17,190,3725,"male",2009
"37","Adelie","Dream",39,18.7,185,3650,"male",2009
"38","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"39","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"40","Adelie","Biscoe",40.6,18.8,193,3800,"male",2008
"41","Gentoo","Biscoe",48.4,14.6,213,5850,"male",2007
"42","Adelie","Biscoe",35,17.9,192,3725,"female",2009
"43","Chinstrap","Dream",46.8,16.5,189,3650,"female",2009
"44","Adelie","Torgersen",37.3,20.5,199,3775,"male",2009
"45","Adelie","Dream",40.3,18.5,196,4350,"male",2008
"46","Adelie","Dream",40.8,18.9,208,4300,"male",2008
"47","Adelie","Dream",37,16.9,185,3000,"female",2007
"48","Gentoo","Biscoe",50,15.9,224,5350,"male",2009
"49","Gentoo","Biscoe",50.4,15.3,224,5550,"male",2008
"50","Adelie","Biscoe",36.5,16.6,181,2850,"female",2008
"51","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"52","Gentoo","Biscoe",45.2,13.8,215,4750,"female",2008
"53","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"54","Gentoo","Biscoe",47.5,14.2,209,4600,"female",2008
"55","Chinstrap","Dream",51,18.8,203,4100,"male",2008
"56","Chinstrap","Dream",53.5,19.9,205,4500,"male",2008
"57","Chinstrap","Dream",52,18.1,201,4050,"male",2007
"58","Chinstrap","Dream",45.2,16.6,191,3250,"female",2009
"59","Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"60","Gentoo","Biscoe",51.1,16.3,220,6000,"male",2008
"61","Adelie","Dream",41.1,18.1,205,4300,"male",2008
"62","Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007
"63","Adelie","Torgersen",39.6,17.2,196,3550,"female",2008
"64","Adelie","Biscoe",37.7,16,183,3075,"female",2009
"65","Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"66","Adelie","Biscoe",34.5,18.1,187,2900,"female",2008
"67","Adelie","Dream",41.1,19,182,3425,"male",2007
"68","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"69","Gentoo","Biscoe",51.5,16.3,230,5500,"male",2009
"70","Chinstrap","Dream",50.8,19,210,4100,"male",2009
"71","Gentoo","Biscoe",47.8,15,215,5650,"male",2007
"72","Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"73","Gentoo","Biscoe",48.6,16,230,5800,"male",2008
"74","Adelie","Biscoe",37.9,18.6,172,3150,"female",2007
"75","Adelie","Torgersen",37.2,19.4,184,3900,"male",2008
"76","Adelie","Biscoe",41.1,18.2,192,4050,"male",2008
"77","Chinstrap","Dream",50.2,18.8,202,3800,"male",2009
"78","Chinstrap","Dream",42.4,17.3,181,3600,"female",2007
"79","Gentoo","Biscoe",46.1,13.2,211,4500,"female",2007
"80","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
"81","Adelie","Torgersen",35.1,19.4,193,4200,"male",2008
"82","Adelie","Dream",33.1,16.1,178,2900,"female",2008
"83","Chinstrap","Dream",49.2,18.2,195,4400,"male",2007
"84","Chinstrap","Dream",55.8,19.8,207,4000,"male",2009
"85","Adelie","Dream",39.6,18.1,186,4450,"male",2008
"86","Gentoo","Biscoe",50.5,15.2,216,5000,"female",2009
"87","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"88","Chinstrap","Dream",50.9,17.9,196,3675,"female",2009
"89","Adelie","Dream",37.3,16.8,192,3000,"female",2009
"90","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"91","Adelie","Torgersen",38.6,17,188,2900,"female",2009
"92","Gentoo","Biscoe",44,13.6,208,4350,"female",2008
"93","Gentoo","Biscoe",46.4,15.6,221,5000,"male",2008
"94","Chinstrap","Dream",43.2,16.6,187,2900,"female",2007
"95","Adelie","Dream",36,17.1,187,3700,"female",2009
"96","Chinstrap","Dream",52,19,197,4150,"male",2007
"97","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007
"98","Chinstrap","Dream",46.2,17.5,187,3650,"female",2008
"99","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"100","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"101","Gentoo","Biscoe",43.5,15.2,213,4650,"female",2009
"102","Adelie","Biscoe",41.6,18,192,3950,"male",2008
"103","Adelie","Biscoe",38.1,17,181,3175,"female",2009
"104","Gentoo","Biscoe",55.9,17,228,5600,"male",2009
"105","Chinstrap","Dream",47,17.3,185,3700,"female",2007
"106","Chinstrap","Dream",47.6,18.3,195,3850,"female",2008
"107","Gentoo","Biscoe",47.2,13.7,214,4925,"female",2009
"108","Gentoo","Biscoe",49.1,14.5,212,4625,"female",2009
"109","Adelie","Torgersen",37.7,19.8,198,3500,"male",2009
"110","Gentoo","Biscoe",49.6,15,216,4750,"male",2008
"111","Adelie","Dream",37.2,18.1,178,3900,"male",2007
"112","Chinstrap","Dream",50.6,19.4,193,3800,"male",2007
"113","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"114","Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007
"115","Gentoo","Biscoe",41.7,14.7,210,4700,"female",2009
"116","Chinstrap","Dream",58,17.8,181,3700,"female",2007
"117","Adelie","Dream",36,18.5,186,3100,"female",2007
"118","Adelie","Torgersen",36.7,18.8,187,3800,"female",2008
"119","Adelie","Biscoe",35.9,19.2,189,3800,"female",2007
"120","Adelie","Dream",37.5,18.5,199,4475,"male",2009
"121","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"122","Gentoo","Biscoe",49.3,15.7,217,5850,"male",2007
"123","Gentoo","Biscoe",51.1,16.5,225,5250,"male",2009
"124","Gentoo","Biscoe",53.4,15.8,219,5500,"male",2009
"125","Adelie","Dream",37.8,18.1,193,3750,"male",2009
"126","Adelie","Biscoe",35.7,16.9,185,3150,"female",2008
"127","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"128","Gentoo","Biscoe",52.2,17.1,228,5400,"male",2009
"129","Chinstrap","Dream",45.9,17.1,190,3575,"female",2007
"130","Gentoo","Biscoe",49.5,16.1,224,5650,"male",2009
"131","Adelie","Torgersen",40.2,17,176,3450,"female",2009
"132","Adelie","Dream",39.5,16.7,178,3250,"female",2007
"133","Gentoo","Biscoe",45.7,13.9,214,4400,"female",2008
"134","Adelie","Dream",38.9,18.8,190,3600,"female",2008
"135","Adelie","Biscoe",37.6,19.1,194,3750,"male",2008
"136","Gentoo","Biscoe",50.5,15.9,225,5400,"male",2008
"137","Chinstrap","Dream",49.3,19.9,203,4050,"male",2009
"138","Adelie","Dream",40.9,18.9,184,3900,"male",2007
"139","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"140","Adelie","Biscoe",37.6,17,185,3600,"female",2008
"141","Gentoo","Biscoe",49.6,16,225,5700,"male",2008
"142","Chinstrap","Dream",49.8,17.3,198,3675,"female",2009
"143","Gentoo","Biscoe",54.3,15.7,231,5650,"male",2008
"144","Adelie","Dream",36.5,18,182,3150,"female",2007
"145","Chinstrap","Dream",48.1,16.4,199,3325,"female",2009
"146","Gentoo","Biscoe",43.8,13.9,208,4300,"female",2008
"147","Chinstrap","Dream",42.5,17.3,187,3350,"female",2009
"148","Gentoo","Biscoe",46.5,14.5,213,4400,"female",2007
"149","Adelie","Torgersen",39,17.1,191,3050,"female",2009
"150","Adelie","Torgersen",35.2,15.9,186,3050,"female",2009
"151","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007
"152","Gentoo","Biscoe",49.5,16.2,229,5800,"male",2008
"153","Gentoo","Biscoe",45.5,13.9,210,4200,"female",2008
"154","Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007
"155","Adelie","Torgersen",41.1,18.6,189,3325,"male",2009
"156","Gentoo","Biscoe",49.9,16.1,213,5400,"male",2009
"157","Chinstrap","Dream",51.4,19,201,3950,"male",2009
"158","Adelie","Dream",43.2,18.5,192,4100,"male",2008
